交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2023090522001411721448887018	,18011116939191860000699601795120	,2023-09-05 21:06:27 ,2023-09-05 21:06:28 ,2023-09-05 21:06:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,多点生活            ,订单：699601795120     ,24.40   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023090522001411721445408192	,CPR230905100053640114747218E	,2023-09-05 10:00:53 ,2023-09-05 10:00:55 ,2023-09-05 10:00:55 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,哈啰出行            ,哈啰单车骑行              ,1.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023090522001411721446043702	,CPR230905095604868114747218O	,2023-09-05 09:56:13 ,2023-09-05 09:56:13 ,2023-09-05 09:56:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,哈啰出行            ,哈啰单车骑行              ,7.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023090422001111721445599623	,T200P3506351292295126444	,2023-09-04 23:25:18 ,2023-09-04 23:25:28 ,2023-09-05 08:46:43 ,淘宝        ,支付宝担保交易         ,吉列**店           ,吉列手动剃须刀泡沫男刮胡泡刮胡膏啫喱须膏剃毛膏清新柠檬210g,47.00   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2023090422001111721446082913	,T200P3506351292294126444	,2023-09-04 23:25:18 ,2023-09-04 23:25:28 ,2023-09-05 11:17:09 ,淘宝        ,支付宝担保交易         ,ar**校           ,火漆印章套装礼盒星空信封封口火漆蜡粒手帐印章生日礼物火漆全套,36.48   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2023090422001111721447169910	,T200P3506351292297126444	,2023-09-04 23:25:18 ,2023-09-04 23:25:28 ,2023-09-05 09:33:01 ,淘宝        ,支付宝担保交易         ,王娟**g           ,牛皮信纸信封套装复古文艺ins简约写情书的书信纸信稿纸古风横线,14.80   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2023090422001111721447487960	,T200P3506351292296126444	,2023-09-04 23:25:18 ,2023-09-04 23:25:28 ,2023-09-05 11:42:53 ,淘宝        ,支付宝担保交易         ,莫**             ,现货！王菲 菲卖品 唱片志 日版 CD 【限量版】,180.00  ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2023090422001411721444658435	,18011116938197920000699201186620	,2023-09-04 17:29:52 ,2023-09-04 17:29:54 ,2023-09-04 17:29:54 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,多点生活            ,订单：699201186620     ,2.22    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023090322001411721441347140	,visionpayF57BE6561BB7104FEA8004E0	,2023-09-03 12:14:02 ,2023-09-03 12:14:04 ,2023-09-03 12:14:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,友宝              ,智能货柜消费_百事美年达橙味汽水330ml_消费时间:2023-09-03 12:14:02,2.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023090222001111721440084942	,T200P3503629045902126444	,2023-09-02 21:49:24 ,2023-09-02 21:49:33 ,2023-09-05 20:50:04 ,淘宝        ,支付宝担保交易         ,滁州**司           ,冰川纹玻璃杯高颜值水杯女果汁饮料杯子女夏ins风咖啡杯啤酒杯女,3.12    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
